timestamp,1. open,2. high,3. low,4. close,5. volume
2024-11-13 15:05:00,225.1470,225.3500,225.1186,225.3300,244180
2024-11-13 15:00:00,225.4200,225.4900,225.1200,225.1400,456099
2024-11-13 14:55:00,225.6800,225.7499,225.4200,225.4300,199395
2024-11-13 14:50:00,225.4111,225.7000,225.3900,225.6700,170619
2024-11-13 14:45:00,225.3400,225.5300,225.3400,225.4100,172663
2024-11-13 14:40:00,225.8500,225.8700,225.3700,225.3800,345744
2024-11-13 14:35:00,225.9200,225.9600,225.7800,225.8700,178616
2024-11-13 14:30:00,225.9100,225.9913,225.7000,225.9334,204873
2024-11-13 14:25:00,225.9500,225.9900,225.7900,225.9199,168002
2024-11-13 14:20:00,225.8200,226.0900,225.7529,225.9500,188897
2024-11-13 14:15:00,226.0900,226.1300,225.7500,225.8000,220075
2024-11-13 14:10:00,226.0150,226.2300,225.9801,226.1000,346668
2024-11-13 14:05:00,225.8717,226.0219,225.8250,226.0150,155903
2024-11-13 14:00:00,226.0300,226.0500,225.8550,225.8785,192936
2024-11-13 13:55:00,226.0400,226.0900,225.9000,226.0250,611195
2024-11-13 13:50:00,226.0199,226.0800,225.9800,226.0349,157548
2024-11-13 13:45:00,225.9200,226.0400,225.8200,226.0150,197485
2024-11-13 13:40:00,225.9700,226.1200,225.8800,225.9200,211282
2024-11-13 13:35:00,225.9800,226.0900,225.8767,225.9750,208196
2024-11-13 13:30:00,226.3600,226.4400,225.9300,225.9787,376573
2024-11-13 13:25:00,226.4550,226.5450,226.3501,226.3638,184745
2024-11-13 13:20:00,226.4600,226.5000,226.3100,226.4512,129751
2024-11-13 13:15:00,226.5600,226.5600,226.2200,226.4600,250585
2024-11-13 13:10:00,226.2350,226.5900,226.1950,226.5600,270919
2024-11-13 13:05:00,226.6400,226.6400,226.1750,226.2300,274657
2024-11-13 13:00:00,226.5300,226.6500,226.4150,226.6450,246901
2024-11-13 12:55:00,226.3850,226.6100,226.2600,226.5210,601083
2024-11-13 12:50:00,226.2500,226.4700,226.2000,226.3850,314919
2024-11-13 12:45:00,225.7250,226.2980,225.7250,226.2518,589297
2024-11-13 12:40:00,225.6600,225.7800,225.5700,225.7300,234641
2024-11-13 12:35:00,225.1720,225.6800,225.1320,225.6700,374756
2024-11-13 12:30:00,225.0250,225.2750,224.9400,225.1599,208764
2024-11-13 12:25:00,224.9560,225.1400,224.9200,225.0200,233388
2024-11-13 12:20:00,225.4200,225.4698,224.9100,224.9599,277113
2024-11-13 12:15:00,225.2000,225.5500,225.2000,225.4000,324555
2024-11-13 12:10:00,225.0700,225.3600,225.0700,225.1900,255481
2024-11-13 12:05:00,224.8800,225.1800,224.8500,225.0700,342006
2024-11-13 12:00:00,224.5550,225.0000,224.5550,224.8600,370314
2024-11-13 11:55:00,224.5250,224.6000,224.4000,224.5500,269621
2024-11-13 11:50:00,224.2500,224.5500,224.2400,224.5300,259421
2024-11-13 11:45:00,223.8050,224.2750,223.7750,224.2550,263062
2024-11-13 11:40:00,224.0310,224.0528,223.7700,223.8050,249372
